CustomerID,Frequency,Monetary,Product_Diversity,Recency,Average_Spend_Per_Transaction,Homeware_Spend_Pct,Stationery_Spend_Pct,Gadgets_Spend_Pct,Decorations_Spend_Pct,Kitchenware_Spend_Pct,Else_Spend_Pct,Split,High_Value,PC1,PC2
12346,12,77556.46,27,321,6463.038333333334,0.0003862992199489,0.0,0.0,0.0001931496099744,0.99528898044083,0.0041315707292467,Train,1,-2.641021916755391,5.2537753089467705
12347,7,5408.5,123,35,772.6428571428571,0.0201904409725432,0.1179254876583156,0.1772543219007118,0.0035721549412961,0.1142645835259314,0.5667930110012018,Train,1,-0.22897783055116425,0.10330224936155602
12348,5,2019.4,25,71,403.88,0.0,0.2308606516787164,0.0,0.0466475190650688,0.1663860552639397,0.5561057739922749,Train,0,-0.10893667880987142,1.6877185413792706
12349,4,4428.69,138,14,1107.1725,0.0668098241240637,0.0172059909363717,0.0106803592032858,0.005690170230926,0.1511191797122851,0.7484944757930675,Val,1,1.0417341342232822,0.1876559346350735
12350,1,334.4,17,305,334.4,0.0,0.0,0.0,0.0,0.1184210526315789,0.8815789473684211,Test,0,1.87831880688583,0.15011697510283015
12351,1,300.93,21,370,300.93,0.3210048848569434,0.0,0.0777589472634832,0.0,0.0,0.6012361678795733,Val,0,-0.21184829712564504,-1.8214513071262153
12352,10,2849.84,70,31,284.98400000000004,0.0613402857704292,0.0107725345984335,0.0578628975661791,0.0217731521769643,0.131235437778963,0.7170156921090307,Train,0,0.7794539953624253,-0.08252551763040226
12353,2,406.76,23,199,203.38,0.0737535647556298,0.0315665257154095,0.0,0.0,0.4891828105025076,0.4054970990264529,Train,0,-0.7202579045977983,2.2380155324354383
12354,1,1079.4,58,228,1079.4,0.0,0.0513062812673707,0.0183435241801,0.0464609968501019,0.1272466184917546,0.7566425792106726,Train,0,1.070335266696568,0.45762857464791906
12355,2,947.61,35,209,473.805,0.1521512014436318,0.043562224965967,0.0211057291501778,0.0,0.1634638722681272,0.6197169721720961,Val,0,0.20896739064496275,0.08470653105325733
12356,6,6373.68,104,18,1062.28,0.0656229995857965,0.0621540460142335,0.0,0.0027770456000301,0.334681063373122,0.5347648454268178,Train,1,-0.0773444759497271,1.527891503164022
12357,3,18287.66,261,28,6095.886666666666,0.1434256761116512,0.0340754366605678,0.0583989422375525,0.0177890446344693,0.0744370794295169,0.671873820926242,Train,1,0.40104957081735815,-0.5594868850316829
12358,4,3203.87,56,146,800.9675,0.0289618492635468,0.0252819246723493,0.0,0.0,0.092569299004017,0.8531869270600867,Train,1,1.661439792808455,0.039543185129898
12359,10,8935.94,305,53,893.594,0.0293030168062901,0.0279657204502268,0.0142570339550176,0.007592933703673,0.190091920939487,0.7307893741453053,Train,1,0.9884748222795986,0.581271057215235
12360,8,4252.89,160,47,531.61125,0.0286887269597849,0.0943311489363703,0.0106939046154497,0.0543818438755763,0.1264222681517744,0.6854821074610441,Train,1,0.6166138273824189,0.6197693073443504
12361,4,511.25,18,282,127.8125,0.0,0.0,0.0,0.0,0.0686552567237163,0.9313447432762836,Train,0,2.134587417432297,-0.13959533705618252
12362,10,4827.19,183,31,482.719,0.01129228391673,0.0279168626053666,0.0642506302838711,0.0562542597246016,0.1038450941437979,0.7364408693256326,Test,1,0.8700262392384495,0.022163525265541606
12363,2,552.0,23,105,276.0,0.217391304347826,0.0945652173913043,0.0,0.2468478260869565,0.2691304347826087,0.1720652173913043,Train,0,-2.629275791534232,1.0774574029824082
12364,4,1313.1,70,3,328.275,0.1028101439342015,0.1722641078364176,0.0,0.121605361358617,0.1201736349097555,0.4831467519610083,Train,0,-0.7137099107204851,0.8580052320283496
12365,2,641.38,22,286,320.69,0.0541020923633415,0.0271290030870934,0.0154354672736911,0.0,0.0198790108827839,0.8834544263930899,Train,0,1.7474022992424019,-0.5049452189570379
12366,1,500.24,3,629,500.24,0.0,0.3243243243243243,0.0,0.0,0.0,0.6756756756756757,Train,0,0.49206061705470483,1.1622363578600408
12368,1,917.7,18,623,917.7,0.0,0.0222294867603792,0.03269042170644,0.0,0.5845047401111475,0.3605753514220334,Train,0,-0.8878186622168805,2.8730353039282766
