CustomerID,Frequency,Monetary,Product_Diversity,Recency,Average_Spend_Per_Transaction,Homeware_Spend_Pct,Stationery_Spend_Pct,Gadgets_Spend_Pct,Decorations_Spend_Pct,Kitchenware_Spend_Pct,Else_Spend_Pct,Future_Spend,PC1,PC2,Split
12346,11,372.86,26,64,33.89636363636364,0.08035187469827818,0.0,0.0,0.04017593734913909,0.020087968674569544,0.8593842192780132,0.0,1.570224399450261,-0.6389030734319687,Train
12349,2,1268.52,47,105,634.26,0.08122851827326333,0.0061488979282943905,0.0,0.0,0.1552990887017942,0.7573234950966481,1402.62,1.1053327405428517,0.13702823036578593,Test
12355,1,488.21000000000004,22,102,488.21000000000004,0.09807255074660493,0.0845537780872985,0.04096597775547407,0.0,0.08172712562217078,0.6946805677884516,0.0,0.6013209243991533,-0.06796627006947747,Train
12358,2,1697.93,34,85,848.965,0.033587957100704974,0.0477051468552885,0.0,0.0,0.04758735636922606,0.8711195396747805,1021.08,1.7240170596973925,-0.11948983807314977,Train
12359,5,2012.03,82,70,402.406,0.048085764128765474,0.05964125783412772,0.0,0.0,0.2658757573197219,0.6263972207173849,551.33,0.4291659941456539,1.167488661548537,Val
12360,3,780.04,44,98,260.0133333333333,0.0,0.15178708784164915,0.0,0.0174350033331624,0.18768268293933643,0.643095225885852,810.79,0.4680907259439816,1.3672911253611217,Train
12361,2,207.35,11,114,103.675,0.0,0.0,0.0,0.0,0.07378828068483241,0.9262117193151677,114.0,2.108154947210132,-0.1097133626395409,Train
12362,1,130.0,1,273,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.4881271715210698,-0.5392729229250735,Train
12366,1,500.24,3,168,500.24,0.0,0.32432432432432434,0.0,0.0,0.0,0.6756756756756757,0.0,0.4920606170547047,1.162236357860041,Train
12368,1,917.6999999999999,18,163,917.6999999999999,0.0,0.02222948676037921,0.032690421706440015,0.0,0.5845047401111475,0.3605753514220334,0.0,-0.8878186622168807,2.8730353039282766,Train
12369,1,348.32,9,176,348.32,0.0,0.0,0.0,0.0,0.11713367018833257,0.8828663298116673,1442.83,1.8849481735814506,0.1426224592920846,Train
12370,3,774.62,33,159,258.20666666666665,0.12362190493403216,0.0,0.0,0.0,0.3139345743719501,0.5624435206940177,0.0,0.04172220631415293,0.8925555672061783,Val
12371,2,607.6800000000001,32,180,303.84000000000003,0.0,0.0,0.0,0.0,0.0,1.0,1571.74,2.4881271715210698,-0.5392729229250735,Train
12373,2,763.0500000000001,31,159,381.52500000000003,0.03970906231570671,0.026734814232356983,0.0,0.0,0.01651267937880873,0.9170434440731275,0.0,1.9720112292184455,-0.4300038766735602,Train
12374,1,1388.54,36,123,1388.54,0.0,0.0,0.0,0.0,0.13049678079133478,0.8695032192086651,857.75,1.8161349309850614,0.2204160040311276,Train
